subspace,n,radius,ratio1,ratio2,fd_err,h,triple
so,128,10.0,0.9442545115670625,,,,
so,128,100.0,0.4313968741783227,,,,
so,128,100.0,0.4178995945215501,,,,
so,128,100.0,0.4241902375054924,,,,
so,128,100.0,0.4234333667191166,,,,
so,128,100.0,0.42538985762404424,,,,
so,128,1000.0,0.15462652519182157,,,,
so,128,1000.0,0.1559529637014366,,,,
so,128,1000.0,0.13818845036670044,,,,
so,128,1000.0,0.14565930957669754,,,,
so,128,1000.0,0.13485340584242883,,,,
so,256,0.1,0.9999968022925335,,,,
so,256,0.1,0.9999967456810287,,,,
so,256,0.1,0.9999967377234171,,,,
so,256,0.1,0.9999967302462651,,,,
so,256,0.1,0.999996810373777,,,,
so,256,1.0,0.9996768978204128,,,,
so,256,1.0,0.9996711413924196,,,,
so,256,1.0,0.999672061338173,,,,
so,256,1.0,0.9996765072040946,,,,
so,256,1.0,0.9996797891426997,,,,
so,256,10.0,0.9687354408062688,,,,
so,256,10.0,0.969153761345974,,,,
so,256,10.0,0.9691562407844706,,,,
so,256,10.0,0.969803930039995,,,,
so,256,10.0,0.9692034380485157,,,,
so,256,100.0,0.4930435169408612,,,,
so,256,100.0,0.4952578525087445,,,,
so,256,100.0,0.49472706510258757,,,,
so,256,100.0,0.4946648304416773,,,,
so,256,100.0,0.49902005121314474,,,,
so,256,1000.0,0.16564832087725453,,,,
so,256,1000.0,0.16181882939154568,,,,
so,256,1000.0,0.16872632044826946,,,,
so,256,1000.0,0.16376839287612283,,,,
so,256,1000.0,0.16185038912697308,,,,
sym,2,0.1,0.9744939823269354,0.5315447408976346,4.6335994549453205e-10,,
sym,2,0.1,1.030991973270329,0.43241534351992755,4.5203369881379336e-10,,
sym,2,0.1,1.0044973212215846,0.8070910096909333,7.442399765784679e-10,,
sym,2,0.1,0.9908830065203105,0.7411460022619402,6.59804666248028e-10,,
sym,2,0.1,1.0279650631714927,0.6903271371276591,7.09427790968399e-10,,
sym,2,1.0,2.2105249040705637,2.1195228550706795,2.6205203553368995e-09,,
sym,2,1.0,1.5683704303462858,0.4794179556300242,4.117410310977841e-10,,
sym,2,1.0,0.5714313273769696,0.27944410827207916,2.1675257585226414e-10,,
sym,2,1.0,1.2435653980417636,1.076235774520323,1.0596510130791003e-09,,
sym,2,1.0,1.5322781034946635,0.515327652617537,5.022017308336947e-10,,
sym,2,3.0,0.3631700772740661,0.23265629546706174,1.311592773506219e-10,,
sym,2,3.0,3.1587386468705803,0.25039694371265814,1.1428685293088376e-10,,
sym,2,3.0,7.238130343055042,6.919625419770159,7.726901509992881e-09,,
sym,2,3.0,0.23813019582549136,0.07694270676117689,5.677785977453201e-11,,
sym,2,3.0,17.190669648943153,10.369070066429206,5.446143569813229e-09,,
sym,2,10.0,1.8936441471870797,1.3176745937853236,7.786239922136318e-10,,
sym,2,10.0,1461.0786116720192,629.5092575124371,1.9472750032992366e-07,,
sym,2,10.0,1768.416597942962,1057.479335550664,3.666476527282677e-07,,
sym,2,10.0,111.07841998346801,47.54473644646744,8.828153940219613e-09,,
sym,2,10.0,15321.497976885625,1083.9736705587336,3.842699201968318e-07,,
sym,4,0.1,0.9779036150239097,0.3507877784217486,1.430260570085226e-10,,
sym,4,0.1,0.970916748239398,0.311706659218147,9.611102800856604e-11,,
sym,4,0.1,1.0210936506250308,0.28760041583560453,1.2944506112790258e-10,,
sym,4,0.1,1.0267284941876316,0.5383333895791311,2.4972458530303575e-10,,
sym,4,0.1,0.9839102783131738,0.2797193420140076,1.3115269430460267e-10,,
sym,4,1.0,0.8237033602825778,0.23003677566322037,1.3621976597665903e-10,,
sym,4,1.0,1.1768817359861627,0.39014679328971424,1.5613000082665689e-10,,
sym,4,1.0,1.3331559723198383,0.6663349238957352,3.54581010722118e-10,,
sym,4,1.0,1.3315897337707225,0.5443468994624874,3.072267269563939e-10,,
sym,4,1.0,0.8397061595794477,0.27709808157549526,1.169171631167865e-10,,
sym,4,3.0,3.525014057523061,0.5112217122115217,1.418773210730092e-10,,
sym,4,3.0,2.0790956251642885,0.7995656513184357,2.4723014956432886e-10,,
sym,4,3.0,0.8042457199090135,0.20439778966916403,1.3293580239468432e-10,,
sym,4,3.0,4.995546406488188,0.7016457762594517,1.2768409490156273e-10,,
sym,4,3.0,3.7728000451106336,1.419112706910682,5.245469102459428e-10,,
sym,4,10.0,42.983802874864466,4.1161303875595205,1.4150438633899995e-09,,
sym,4,10.0,6.4997052125399275,4.99056407821032,4.278520457428143e-09,,
sym,4,10.0,59.36074561233095,14.561949409015172,7.3810353806140824e-09,,
sym,4,10.0,66.4218720283981,33.08327561163314,1.89736920302614e-08,,
sym,4,10.0,100.1574699231948,28.042196262258503,8.177193467844909e-09,,
sym,8,0.1,0.9959581916679755,0.3593741595276202,1.3921513102659866e-10,,
sym,8,0.1,0.9932914100987087,0.2452599292721357,7.196555445104329e-11,,
