kind,mu,R0,R,muR,k_log10,sin_yk_err,k_exact,log10_L_F,log10_floor,ratio,satisfied,fitted_slope,expected,rel_err,n,max_abs_d2F,bound_Lf_plus_Gf,t,rho,op_norm,op_norm_over_t,expm_equals_I_plus_tN
lower_bound,0.25,10.124096987877163,3037.229096363149,759.3072740907872,328.9647793382708,4.5954899834293374e-82,True,658.3217984306018,657.7197384392739,4.0,True,,,,,,,,,,,
lower_bound,0.5,5.0620484939385815,5.0620484939385815,2.5310242469692907,0.0,0.0,True,1.1881197714043805,0.9942997453882677,1.5625000000000002,True,,,,,,,,,,,
lower_bound,0.5,5.0620484939385815,7.593072740907872,3.796536370453936,0.7781512503836436,0.0,True,2.5860597800764182,2.093509609410364,3.1084949822635815,True,,,,,,,,,,,
lower_bound,0.5,5.0620484939385815,10.124096987877163,5.0620484939385815,1.380211241711606,0.0,True,3.7637232312648328,3.19271947343246,3.723949284729517,True,,,,,,,,,,,
lower_bound,0.5,5.0620484939385815,15.186145481815744,7.593072740907872,2.4983105537896004,0.0,True,5.991609935878506,5.391139201476652,3.985389152539286,True,,,,,,,,,,,
lower_bound,0.5,5.0620484939385815,25.31024246969291,12.655121234846455,4.697865493028046,0.0,True,10.390035085437436,9.787978657565038,3.9999671794959997,True,,,,,,,,,,,
lower_bound,0.5,5.0620484939385815,50.62048493938582,25.31024246969291,10.19391877185357,0.0,True,21.382137289109302,20.780077297786,3.9999999999570703,True,,,,,,,,,,,
lower_bound,0.5,5.0620484939385815,202.48193975754327,101.24096987877164,43.17021469252574,6.402532129780334e-81,True,87.33472913043974,86.73266913911178,4.0,True,,,,,,,,,,,
lower_bound,0.5,5.0620484939385815,607.4458192726298,303.7229096363149,131.10700381429345,5.68256529236436e-82,True,263.2083073739752,262.6062473826472,4.0,True,,,,,,,,,,,
lower_bound,0.5,5.0620484939385815,1518.6145481815745,759.3072740907872,328.9647793382708,4.5954899834293374e-82,True,658.9238584219298,658.3217984306018,4.0,True,,,,,,,,,,,
lower_bound,1.0,2.5310242469692907,2.5310242469692907,2.5310242469692907,0.0,0.0,True,1.790179762732343,1.59635973671623,1.5625000000000002,True,,,,,,,,,,,
lower_bound,1.0,2.5310242469692907,3.796536370453936,3.796536370453936,0.7781512503836436,0.0,True,3.1881197714043807,2.695569600738326,3.1084949822635815,True,,,,,,,,,,,
lower_bound,1.0,2.5310242469692907,5.0620484939385815,5.0620484939385815,1.380211241711606,0.0,True,4.365783222592795,3.7947794647604223,3.723949284729517,True,,,,,,,,,,,
lower_bound,1.0,2.5310242469692907,7.593072740907872,7.593072740907872,2.4983105537896004,0.0,True,6.593669927206468,5.993199192804615,3.985389152539286,True,,,,,,,,,,,
lower_bound,1.0,2.5310242469692907,12.655121234846455,12.655121234846455,4.697865493028046,0.0,True,10.992095076765398,10.390038648893,3.9999671794959997,True,,,,,,,,,,,
lower_bound,1.0,2.5310242469692907,25.31024246969291,25.31024246969291,10.19391877185357,0.0,True,21.984197280437265,21.382137289113963,3.9999999999570703,True,,,,,,,,,,,
lower_bound,1.0,2.5310242469692907,101.24096987877164,101.24096987877164,43.17021469252574,6.402532129780334e-81,True,87.9367891217677,87.33472913043974,4.0,True,,,,,,,,,,,
lower_bound,1.0,2.5310242469692907,303.7229096363149,303.7229096363149,131.10700381429345,5.68256529236436e-82,True,263.81036736530314,263.2083073739752,4.0,True,,,,,,,,,,,
