kind,obj,eta_mult,init,T,min_grad_sq,bound,slack,rho_predicted,rho_empirical_1step,grows,predicted_grows,err
rate,quadratic,1.0,7.0,10,0.13296746409660015,30.525750032776493,229.57307819753333,,,,,
rate,quadratic,1.0,7.0,100,0.0016764533415712058,3.0525750032776493,1820.85294447665,,,,,
rate,quadratic,1.0,7.0,1000,2.320166427401114e-13,0.30525750032776494,1315670706733.2783,,,,,
rate,quadratic,1.0,7.0,10000,1.9336355449557461e-31,0.030525750032776494,1.578671332992853e+29,,,,,
rate,quadratic,1.0,7.0,20000,1.9336355449557461e-31,0.015262875016388247,7.893356664964265e+28,,,,,
rate,quadratic,1.5,0.0,10,0.030401853179612748,44.94566299892713,1478.3856343687414,,,,,
rate,quadratic,1.5,0.0,100,0.00019429875691386552,4.494566299892713,23132.24423708072,,,,,
rate,quadratic,1.5,0.0,1000,2.869742355013291e-19,0.44945662998927133,1.5661915753659694e+18,,,,,
rate,quadratic,1.5,0.0,10000,3.150702899186955e-31,0.04494566299892713,1.42652812521693e+29,,,,,
rate,quadratic,1.5,0.0,20000,2.706174193898076e-31,0.022472831499463566,8.304281206337588e+28,,,,,
rate,quadratic,1.5,1.0,10,0.10865242470156847,27.656070332405594,254.537074606181,,,,,
rate,quadratic,1.5,1.0,100,0.0002892846407655742,2.7656070332405593,9560.158554984284,,,,,
rate,quadratic,1.5,1.0,1000,4.147599279845683e-19,0.27656070332405597,6.667970666017325e+17,,,,,
rate,quadratic,1.5,1.0,10000,2.954378415480981e-31,0.027656070332405594,9.361045351363057e+28,,,,,
rate,quadratic,1.5,1.0,20000,2.4992570954979724e-31,0.013828035166202797,5.532858220593582e+28,,,,,
rate,quadratic,1.5,2.0,10,0.05881840271928882,28.77547700924567,489.2257470264333,,,,,
rate,quadratic,1.5,2.0,100,0.0002548351714203035,2.877547700924567,11291.799655780576,,,,,
rate,quadratic,1.5,2.0,1000,4.057611928354242e-19,0.2877547700924567,7.091727232011795e+17,,,,,
rate,quadratic,1.5,2.0,10000,3.0889527703450392e-31,0.02877547700924567,9.315609252915648e+28,,,,,
rate,quadratic,1.5,2.0,20000,3.0889527703450392e-31,0.014387738504622835,4.657804626457824e+28,,,,,
rate,quadratic,1.5,3.0,10,0.09291388056168738,35.81283263282099,385.441146320911,,,,,
rate,quadratic,1.5,3.0,100,0.000679321195635711,3.581283263282099,5271.8556204193255,,,,,
rate,quadratic,1.5,3.0,1000,1.0157593284281018e-18,0.3581283263282099,3.525720279452587e+17,,,,,
rate,quadratic,1.5,3.0,10000,3.181036295811054e-31,0.03581283263282099,1.1258228232095654e+29,,,,,
rate,quadratic,1.5,3.0,20000,2.9868784832925157e-31,0.017906416316410496,5.99502671989246e+28,,,,,
rate,quadratic,1.5,4.0,10,0.07959895452969383,47.92896787359341,602.130620392933,,,,,
rate,quadratic,1.5,4.0,100,0.00043343981898210786,4.792896787359341,11057.8137435896,,,,,
rate,quadratic,1.5,4.0,1000,6.771421398556621e-19,0.4792896787359341,7.078125116214127e+17,,,,,
rate,quadratic,1.5,4.0,10000,3.112063929677686e-31,0.04792896787359341,1.5401022908471347e+29,,,,,
rate,quadratic,1.5,4.0,20000,2.8011466142806717e-31,0.023964483936796704,8.555240848380488e+28,,,,,
rate,quadratic,1.5,5.0,10,0.0752285104508292,34.6588546222486,460.71435436572,,,,,
rate,quadratic,1.5,5.0,100,0.00033119387889705434,3.46588546222486,10464.823425381506,,,,,
rate,quadratic,1.5,5.0,1000,5.254627042007397e-19,0.346588546222486,6.595873378866499e+17,,,,,
rate,quadratic,1.5,5.0,10000,3.1384250957914863e-31,0.0346588546222486,1.1043390734010146e+29,,,,,
rate,quadratic,1.5,5.0,20000,2.9789340222719184e-31,0.0173294273111243,5.8173249832192705e+28,,,,,
rate,quadratic,1.5,6.0,10,0.054966729302905845,34.068753960928376,619.8068248373532,,,,,
rate,quadratic,1.5,6.0,100,0.00021880108456321588,3.4068753960928375,15570.651319639712,,,,,
rate,quadratic,1.5,6.0,1000,3.227150185599491e-19,0.3406875396092837,1.055691616490405e+18,,,,,
rate,quadratic,1.5,6.0,10000,2.6869148944542037e-31,0.03406875396092837,1.2679506161972726e+29,,,,,
rate,quadratic,1.5,6.0,20000,2.5708776153048728e-31,0.017034376980464186,6.625899606832949e+28,,,,,
rate,quadratic,1.5,7.0,10,0.04283788053752495,37.58764765736716,877.4394807988057,,,,,
rate,quadratic,1.5,7.0,100,0.0005968177640419392,3.7587647657367156,6298.010870655958,,,,,
rate,quadratic,1.5,7.0,1000,8.865983093140164e-19,0.37587647657367157,4.239535228354955e+17,,,,,
rate,quadratic,1.5,7.0,10000,3.014443355621558e-31,0.037587647657367156,1.2469183601433716e+29,,,,,
rate,quadratic,1.5,7.0,20000,3.014443355621558e-31,0.018793823828683578,6.234591800716858e+28,,,,,
rate,quadratic,1.9,0.0,10,2.456714748343708,142.9134654692633,58.172592306703116,,,,,
rate,quadratic,1.9,0.0,100,8.45719626775012e-05,14.291346546926327,168984.44939043935,,,,,
rate,quadratic,1.9,0.0,1000,1.3334016459054618e-23,1.429134654692633,1.0717960781593025e+23,,,,,
