subspace,n,m,B,radius,lambda_max,bound,ratio,B_eff,ratio_eff,kind,random_dir_lambda_max,random_dir_ratio_eff
gl,32,2.0,2.0,0.1,1.9792830942242672,4.0,0.4948207735560668,1.9999999999999998,0.4948207735560669,random_features,,
gl,32,2.0,2.0,1.0,1.9792683877907256,4.0,0.4948170969476814,1.9999999999999998,0.4948170969476815,random_features,,
gl,32,2.0,2.0,10.0,1.9777984798895079,4.0,0.49444961997237696,1.9999999999999998,0.4944496199723771,random_features,,
gl,32,2.0,2.0,100.0,1.8378612118310538,4.0,0.45946530295776344,1.9999999999999998,0.45946530295776356,random_features,,
gl,32,2.0,2.0,1000.0,0.03276319752790738,4.0,0.008190799381976845,1.9999999999999998,0.008190799381976846,random_features,,
gl,32,2.0,2.0,10000.0,1.267421478142749e-23,4.0,3.1685536953568725e-24,1.9999999999999998,3.1685536953568732e-24,random_features,,
so,32,4.0,0.5,0.01,0.03523081337771564,0.25,0.14092325351086257,0.36148759104653866,0.26960992933944106,random_features,,
so,32,4.0,0.5,0.1,0.035301511604266464,0.25,0.14120604641706586,0.36148759104653866,0.2701509598192212,random_features,,
so,32,4.0,0.5,1.0,0.036014284141197915,0.25,0.14405713656479166,0.36148759104653866,0.2756055756765643,random_features,,
so,32,4.0,0.5,10.0,0.04317988642699244,0.25,0.17271954570796977,0.36148759104653866,0.33044159394373224,random_features,,
so,32,4.0,0.5,100.0,0.06903664769630147,0.25,0.27614659078520587,0.36148759104653866,0.5283149584904243,random_features,,
so,32,4.0,0.5,1000.0,0.06173305020484342,0.25,0.24693220081937367,0.36148759104653866,0.4724229079015145,random_features,,
so,32,4.0,0.5,10000.0,0.02703183003349018,0.25,0.10812732013396072,0.36148759104653866,0.20686578272004752,random_features,,
sym,32,4.0,0.5,0.01,0.03441076268489298,0.25,0.13764305073957192,0.3640342621533059,0.2596628249139981,random_features,,
sym,32,4.0,0.5,0.1,0.0344435962024902,0.25,0.1377743848099608,0.3640342621533059,0.2599105858837048,random_features,,
sym,32,4.0,0.5,1.0,0.03484920416765956,0.25,0.13939681667063825,0.3640342621533059,0.26297129427334287,random_features,,
sym,32,4.0,0.5,10.0,0.04102814656383724,0.25,0.16411258625534897,0.3640342621533059,0.3095974516841679,random_features,,
sym,32,4.0,0.5,100.0,0.0632239135052195,0.25,0.252895654020878,0.3640342621533059,0.47708619925738877,random_features,,
sym,32,4.0,0.5,1000.0,0.05913018495798719,0.25,0.23652073983194877,0.3640342621533059,0.44619501765994946,random_features,,
sym,32,4.0,0.5,10000.0,0.004328672990400674,0.25,0.017314691961602697,0.3640342621533059,0.03266406696965829,random_features,,
sl,32,4.0,0.5,0.01,0.06717781867609408,0.25,0.26871127470437633,0.4999692409592985,0.2687443389595617,random_features,,
sl,32,4.0,0.5,0.1,0.0672263820950937,0.25,0.2689055283803748,0.4999692409592985,0.26893861653799267,random_features,,
sl,32,4.0,0.5,1.0,0.06778568556882994,0.25,0.27114274227531976,0.4999692409592985,0.27117610571655276,random_features,,
sl,32,4.0,0.5,10.0,0.07846550529037977,0.25,0.31386202116151907,0.4999692409592985,0.31390064110395394,random_features,,
sl,32,4.0,0.5,100.0,0.10831285688901328,0.25,0.4332514275560531,0.4999692409592985,0.43330473806852005,random_features,,
sl,32,4.0,0.5,1000.0,0.12416354430307373,0.25,0.49665417721229493,0.4999692409592985,0.4967152892756882,random_features,,
sl,32,4.0,0.5,10000.0,0.03631414232698554,0.25,0.14525656930794217,0.4999692409592985,0.14527444276814674,random_features,,
gl,32,4.0,0.5,0.01,0.0671856483075425,0.25,0.26874259323017,0.5000000000000002,0.2687425932301698,random_features,,
gl,32,4.0,0.5,0.1,0.06728405196560823,0.25,0.2691362078624329,0.5000000000000002,0.2691362078624327,random_features,,
gl,32,4.0,0.5,1.0,0.06842404941252413,0.25,0.2736961976500965,0.5000000000000002,0.2736961976500963,random_features,,
gl,32,4.0,0.5,10.0,0.08108427263535142,0.25,0.3243370905414057,0.5000000000000002,0.3243370905414054,random_features,,
gl,32,4.0,0.5,100.0,0.1279174150669667,0.25,0.5116696602678668,0.5000000000000002,0.5116696602678663,random_features,,
gl,32,4.0,0.5,1000.0,0.13275589439793847,0.25,0.5310235775917539,0.5000000000000002,0.5310235775917534,random_features,,
gl,32,4.0,0.5,10000.0,0.07382356493964108,0.25,0.2952942597585643,0.5000000000000002,0.29529425975856405,random_features,,
so,32,4.0,1.0,0.01,0.1264286024611601,1.0,0.1264286024611601,0.7224851140088395,0.24220746849762495,random_features,,
so,32,4.0,1.0,0.1,0.12703457202619228,1.0,0.12703457202619228,0.7224851140088395,0.24336836367067838,random_features,,
so,32,4.0,1.0,1.0,0.1335483347252036,1.0,0.1335483347252036,0.7224851140088395,0.2558472010777949,random_features,,
so,32,4.0,1.0,10.0,0.1744108653502887,1.0,0.1744108653502887,0.7224851140088395,0.33413019959586393,random_features,,
so,32,4.0,1.0,100.0,0.2338812813935472,1.0,0.2338812813935472,0.7224851140088395,0.44806153032273216,random_features,,
so,32,4.0,1.0,1000.0,0.1914692475048194,1.0,0.1914692475048194,0.7224851140088395,0.3668100479678589,random_features,,
so,32,4.0,1.0,10000.0,0.0001578053676048952,1.0,0.0001578053676048952,0.7224851140088395,0.0003023179712412053,random_features,,
sym,32,4.0,1.0,0.01,0.14424709119969548,1.0,0.14424709119969548,0.7367082965687847,0.26577611124171735,random_features,,
sym,32,4.0,1.0,0.1,0.1447210448679595,1.0,0.1447210448679595,0.7367082965687847,0.26664937365423685,random_features,,
sym,32,4.0,1.0,1.0,0.14950544326975465,1.0,0.14950544326975465,0.7367082965687847,0.275464655759994,random_features,,
sym,32,4.0,1.0,10.0,0.19457608565261175,1.0,0.19457608565261175,0.7367082965687847,0.3585075785950798,random_features,,
sym,32,4.0,1.0,100.0,0.28594580258214175,1.0,0.28594580258214175,0.7367082965687847,0.526856817729257,random_features,,
sym,32,4.0,1.0,1000.0,0.28032524564216804,1.0,0.28032524564216804,0.7367082965687847,0.5165009086145919,random_features,,
sym,32,4.0,1.0,10000.0,0.050980335091808035,1.0,0.050980335091808035,0.7367082965687847,0.09393156629926555,random_features,,
sl,32,4.0,1.0,0.01,0.2621894747022083,1.0,0.2621894747022083,0.9999995891677146,0.2621896901341433,random_features,,
sl,32,4.0,1.0,0.1,0.26307016882221723,1.0,0.26307016882221723,0.9999995891677146,0.2630703849777878,random_features,,
sl,32,4.0,1.0,1.0,0.2720930587655858,1.0,0.2720930587655858,0.9999995891677146,0.27209328233494995,random_features,,
sl,32,4.0,1.0,10.0,0.3647476522402888,1.0,0.3647476522402888,0.9999995891677146,0.36474795194069665,random_features,,
sl,32,4.0,1.0,100.0,0.5066521573442062,1.0,0.5066521573442062,0.9999995891677146,0.5066525736425902,random_features,,
sl,32,4.0,1.0,1000.0,0.49149107222500193,1.0,0.49149107222500193,0.9999995891677146,0.49149147606605176,random_features,,
sl,32,4.0,1.0,10000.0,0.41044028223949003,1.0,0.41044028223949003,0.9999995891677146,0.41044061948393623,random_features,,
gl,32,4.0,1.0,0.01,0.26229594615272395,1.0,0.26229594615272395,1.0000000000000007,0.2622959461527236,random_features,,
gl,32,4.0,1.0,0.1,0.2629775754589314,1.0,0.2629775754589314,1.0000000000000007,0.2629775754589311,random_features,,
gl,32,4.0,1.0,1.0,0.26978041593090873,1.0,0.26978041593090873,1.0000000000000007,0.2697804159309084,random_features,,
gl,32,4.0,1.0,10.0,0.33388491120571084,1.0,0.33388491120571084,1.0000000000000007,0.3338849112057104,random_features,,
gl,32,4.0,1.0,100.0,0.49058307871851836,1.0,0.49058307871851836,1.0000000000000007,0.4905830787185177,random_features,,
gl,32,4.0,1.0,1000.0,0.4398277339873334,1.0,0.4398277339873334,1.0000000000000007,0.43982773398733277,random_features,,
gl,32,4.0,1.0,10000.0,0.000610849084961885,1.0,0.000610849084961885,1.0000000000000007,0.0006108490849618841,random_features,,
so,32,4.0,2.0,0.01,0.5166028799268486,4.0,0.12915071998171215,1.4097487988555513,0.2599401447626004,random_features,,
