geom,arm,seed,auc,r_task,r_geo,rho,menv_orth,menv_sym,menv_cond,recon_err,status
gl,baseline_ppo,1,5.689855333836279,0.16587939766697654,0.4747788482895121,,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,so,1,8.291750314144789,0.15577990501737224,0.8178973244350404,1.0000009536743164,10.42094405394354,2.508319615094323,437.8852052281773,1.7763568394002505e-15,ok
gl,sl,1,8.037984497807347,0.15371104933982022,0.7899240954135854,2.5962332487106323,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,gl,1,8.059531776047898,0.15888259139023023,0.7848652582230665,2.502683162689209,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,sym,1,6.608497510949425,0.1533048598890483,0.6092893402533296,531.2581787109375,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,baseline_ppo,2,5.775886860040342,0.18070091565303759,0.4634682826100848,,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,so,2,8.05999749130189,0.14266709661304186,0.8077347982646589,1.0000008940696716,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,sl,2,7.930728946844479,0.1496709696140006,0.7810728747085357,2.245436906814575,10.42094405394354,2.508319615094323,437.8852052281773,8.881784197001252e-16,ok
gl,gl,2,7.8720051485710485,0.14012521969010486,0.7881537084704575,2.3548660278320312,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,sym,2,6.606493131375121,0.1518666978248999,0.6105685805769949,661.7834777832031,10.42094405394354,2.508319615094323,437.8852052281773,1.7763568394002505e-15,ok
gl,baseline_ppo,3,5.748075202533104,0.18274957972943387,0.45622704665844016,,10.42094405394354,2.508319615094323,437.8852052281773,8.881784197001252e-16,ok
gl,so,3,8.111951623340644,0.1489287001272574,0.8051665512756755,1.0000009536743164,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,sl,3,7.959093383725466,0.14827722557040193,0.7874295506272464,2.8175100088119507,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,gl,3,7.955814280448108,0.15028373171686704,0.7839674975807779,2.742482304573059,10.42094405394354,2.508319615094323,437.8852052281773,8.881784197001252e-16,ok
gl,sym,3,6.3757204523179585,0.1449409146392391,0.5918958124106438,5534.244873046875,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,baseline_ppo,4,5.706773347490365,0.17201410644132628,0.4671264417695813,,10.42094405394354,2.508319615094323,437.8852052281773,1.7763568394002505e-15,ok
gl,so,4,8.176016617711346,0.153430991721526,0.8067209706939755,1.0000009536743164,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,sl,4,8.305121472759895,0.17492815522847513,0.7905287615271905,2.9916034936904907,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,gl,4,7.968293110035505,0.14277741158338209,0.7964726569594816,3.1043179035186768,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,sym,4,6.451401097850534,0.14006755002693314,0.6082715757483926,2384.41552734375,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,baseline_ppo,5,5.781771947134809,0.18306022310131131,0.46026485976502296,,10.42094405394354,2.508319615094323,437.8852052281773,8.881784197001252e-16,ok
gl,so,5,8.209899540895753,0.16012935188943575,0.8007002832210312,1.0000008344650269,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,sl,5,7.961584449627196,0.15213400927803766,0.7814304431143061,2.5243539810180664,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,gl,5,7.958023188400187,0.15008368360732713,0.7841073957868541,2.4917246103286743,10.42094405394354,2.508319615094323,437.8852052281773,8.881784197001252e-16,ok
gl,sym,5,6.600033019146879,0.15115668738250448,0.6107016702101099,897.3763427734375,10.42094405394354,2.508319615094323,437.8852052281773,8.881784197001252e-16,ok
gl,baseline_ppo,6,5.725528159221455,0.1761292071765615,0.4638014408838936,,10.42094405394354,2.508319615094323,437.8852052281773,8.881784197001252e-16,ok
gl,so,6,8.014590421257173,0.15106356604187143,0.7898966425629333,1.0000009536743164,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,sl,6,7.634972661116538,0.13754011688847503,0.7630180134362852,2.6472243070602417,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,gl,6,7.7360751603846,0.1581350664966916,0.7451557717911277,2.958787441253662,10.42094405394354,2.508319615094323,437.8852052281773,8.881784197001252e-16,ok
gl,sym,6,6.259493607604998,0.13814976117471114,0.5875017614454964,2614.0804443359375,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,baseline_ppo,7,5.742600840409113,0.17002098216491973,0.47472062720715386,,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,so,7,8.192088820832218,0.1538772131174178,0.8079977949686349,1.0000009536743164,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,sl,7,7.961027868715672,0.1575246557631115,0.7736672330540915,2.4817252159118652,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,gl,7,7.7429390188187925,0.14481418863602644,0.7653605420597209,2.714013695716858,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,sym,7,6.288188038012058,0.14209057123846128,0.5848819601323609,19065.31640625,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,baseline_ppo,8,5.883624186513277,0.18434618788037127,0.4707565677084649,,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,so,8,8.478289188883346,0.1648072612673011,0.8271918785066653,1.0000010132789612,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,sl,8,8.056717730146874,0.17249802740136796,0.762250644794448,3.045668363571167,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,gl,8,7.8521933660024015,0.15948305163073065,0.7560370544698245,2.86180317401886,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,sym,8,6.620491452817949,0.15945096484257917,0.6002234590986898,5064.09130859375,10.42094405394354,2.508319615094323,437.8852052281773,1.7763568394002505e-15,ok
gl,baseline_ppo,9,5.7404781527751005,0.16799984029146126,0.47758914924142887,,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,so,9,8.145350788893582,0.15040028858532153,0.8072417689595137,1.000001072883606,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
