arm,seed,auc,auc_task,auc_geo,r_task,r_geo,rho,recon_err,status
sym,8,6.116756475321221,1.727905212824561,4.38885126249666,0.14625215571622868,0.5570281338766218,195648248.0,0.0,ok
baseline_ppo,9,5.870878485533564,2.138173683159084,3.7327048023744793,0.18099864834208781,0.47454472321192737,,8.881784197001252e-16,ok
so,9,9.214439820542477,1.8991465420140985,7.315293278528378,0.16121292295800155,0.9269086118944299,1.0000009536743164,0.0,ok
sl,9,9.13863040572934,1.9642835802141103,7.17434682551523,0.1666326819666798,0.9098243039893608,2.8611340522766113,0.0,ok
gl,9,9.271156943293647,2.0506663472927977,7.220490596000849,0.17368154174365513,0.9155715844405194,2.723927855491638,0.0,ok
sym,9,6.5669003523134215,1.7577592883353956,4.809141063978026,0.14900058294702237,0.6106434531202384,9396.244140625,0.0,ok
baseline_ppo,10,5.906445533747094,2.123734711493482,3.7827108222536125,0.17963587262828734,0.48074651444131355,,8.881784197001252e-16,ok
so,10,9.407220700055158,2.0274885745857363,7.379732125469421,0.17209032747217226,0.9340991007120348,1.0000008344650269,0.0,ok
sl,10,9.277521048378938,2.180009552692863,7.097511495686074,0.1847794108974585,0.8987500900986294,4.372053623199463,0.0,ok
gl,10,9.027528893738934,2.032548422052907,6.994980471686024,0.17224560319759677,0.8860370910182596,4.182517051696777,1.7763568394002505e-15,ok
sym,10,6.156688182808344,1.7686594442021193,4.388028738606224,0.14980771818512267,0.5567796576646002,5260940.5,0.0,ok
baseline_ppo,11,5.8422797370379005,2.080429053701847,3.761850683336053,0.17592864068866068,0.47826256118838983,,0.0,ok
so,11,9.527867515653684,2.0692915729364345,7.458575942717245,0.17553986331146879,0.9447878657597428,1.0000010132789612,0.0,ok
sl,11,9.355486167917812,2.3160094612917947,7.039476706626017,0.19629987175359093,0.8921930727890072,6.572907447814941,0.0,ok
gl,11,8.854471937240795,1.9738852619336409,6.880586675307155,0.1676686184173525,0.8723525395516307,5.296266555786133,0.0,ok
sym,11,6.1202215072938575,1.6723905948015556,4.447830912492301,0.14156526143187678,0.5650605878590916,3687653.5,0.0,ok
baseline_ppo,12,6.012853609225784,2.269213026985102,3.743640582240683,0.19204093820270093,0.4758420918664895,,0.0,ok
so,12,9.395749004139123,2.018959493274855,7.376789510864269,0.17141975006283522,0.9341865747710689,1.0000009536743164,0.0,ok
sl,12,9.087891286772964,2.0225644533358276,7.065326833437135,0.17177266351234308,0.895082182063597,3.3197704553604126,0.0,ok
gl,12,9.253424791787898,2.0988203862533816,7.154604405534517,0.1780534931377385,0.9062801084809627,2.7904480695724487,1.7763568394002505e-15,ok
sym,12,6.347615189480144,1.6808563901589382,4.666758799321204,0.14253622966398594,0.5919024128459703,116528.5390625,8.881784197001252e-16,ok
baseline_ppo,13,5.937371423054954,2.116747078930123,3.8206243441248318,0.17928254750884637,0.4855612447078107,,0.0,ok
so,13,9.28306954720703,1.8742068267222471,7.408862720484783,0.1590814081280675,0.9379154977851236,1.0000009536743164,0.0,ok
sl,13,8.94728343160233,1.9775848382807626,6.969698593321566,0.16760448458267435,0.883296138109981,4.426751136779785,0.0,ok
gl,13,9.450044467270361,2.3544360154714292,7.09560845179893,0.19924216766463326,0.8990806925808079,5.48705267906189,1.7763568394002505e-15,ok
sym,13,6.538353347641492,1.8095256017204524,4.72882774592104,0.15353309561301767,0.6005023177087151,36730.556640625,0.0,ok
baseline_ppo,14,6.136919405051296,2.3472891237994404,3.7896302812518554,0.198562466853184,0.4816729814109159,,0.0,ok
so,14,9.709982254846057,2.261910179552594,7.448072075293462,0.1919168394881329,0.9435094358248016,1.0000009536743164,0.0,ok
sl,14,9.481866612092793,2.2367575675262885,7.245109044566504,0.18989629821794676,0.9183078068626425,3.6382336616516113,0.0,ok
gl,14,9.756858283762375,2.4391349500346804,7.3177233337276935,0.2067173979551339,0.9273859580241454,3.9333232641220093,0.0,ok
sym,14,6.579731363446192,1.59679932477442,4.982932038671773,0.1352731896427943,0.6318249961662263,8724.857421875,0.0,ok
baseline_ppo,15,5.854455340312013,2.1109061159417917,3.7435492243702213,0.17859130839061088,0.4758659556339184,,0.0,ok
so,15,9.480640455761279,2.0475889351611065,7.43305152060017,0.1734407596800397,0.9410417372232304,1.0000010132789612,0.0,ok
sl,15,9.17440965859287,2.1105604165784295,7.063849242014439,0.17893799058882806,0.8949837209643796,3.6628386974334717,0.0,ok
gl,15,9.048616418668974,2.0760078007209772,6.972608617947996,0.17577609824886536,0.8835571470701444,4.915141344070435,0.0,ok
sym,15,6.363421316464252,1.7729130275908929,4.59050828887336,0.1498691948785484,0.5827401013902233,108937.84765625,0.0,ok
baseline_ppo,16,6.080074175593501,2.3140194705871524,3.76605470500635,0.1958052784952468,0.4786703308047571,,0.0,ok
so,16,9.368553541923951,2.00971765077749,7.358835891146463,0.17054050185388425,0.9322660764763753,1.0000009536743164,0.0,ok
sl,16,9.101474367911885,2.074135456849779,7.027338911062106,0.17592614063620526,0.890909360711913,4.910620927810669,0.0,ok
gl,16,9.19558333974167,2.1157500651564143,7.0798332745852575,0.1795449021685835,0.8975537357397066,5.1359357833862305,0.0,ok
sym,16,6.189052489034497,1.7468042155065002,4.442248273527994,0.14784587644042285,0.5644743004267104,87170176.0,0.0,ok
baseline_ppo,17,5.974441116210252,2.166385417363288,3.808055698846964,0.18324583697692484,0.483979894466706,,0.0,ok
so,17,9.57777992272044,2.0779947429621175,7.499785179758321,0.17622141773135924,0.9496952903196837,1.0000009536743164,0.0,ok
sl,17,9.127410883583646,2.0359698941971063,7.091440989386539,0.17294314263611604,0.8989281248442208,3.4825979471206665,0.0,ok
