draw,m_env_seed,arm,seed,auc,r_task,r_geo,rho,recon_err,status
2,900002,baseline_ppo,0,5.795109878893095,0.16954596105226263,0.48198487807375684,,8.881784197001252e-16,ok
2,900002,so,0,8.771461664624171,0.15648247353649697,0.8776432061962783,1.000001072883606,0.0,ok
2,900002,sl,0,7.906132638724628,0.14192977368506055,0.7901356281137405,2.6670931577682495,8.881784197001252e-16,ok
2,900002,gl,0,7.969322789269662,0.14490564099340622,0.7936248295191055,2.809593915939331,0.0,ok
2,900002,sym,0,6.762298881994449,0.1409516155125809,0.6467261386699587,360.3769226074219,0.0,ok
2,900002,baseline_ppo,1,5.648919872805016,0.16003228888864596,0.47859933287004636,,0.0,ok
2,900002,so,1,8.498101322788271,0.15381645265815974,0.8464538994522144,1.0000008344650269,0.0,ok
2,900002,sl,1,7.875677320202813,0.16222630270684193,0.7559302858524956,2.7166026830673218,0.0,ok
2,900002,gl,1,7.806585838557102,0.1612839378310554,0.748808324430169,2.592334270477295,0.0,ok
2,900002,sym,1,6.303029054143172,0.14060701260467282,0.5893921776256833,25038.8662109375,0.0,ok
2,900002,baseline_ppo,2,5.751266858764219,0.1682022443656332,0.4784911621650681,,8.881784197001252e-16,ok
2,900002,so,2,8.392518108219829,0.15207159360279465,0.8363504368927329,1.0000009536743164,0.0,ok
2,900002,sl,2,7.905784158972376,0.14323204678389026,0.7884567418015873,2.076818585395813,0.0,ok
2,900002,gl,2,8.053403558874193,0.1614588104038119,0.7793369639431437,2.2428128719329834,1.7763568394002505e-15,ok
2,900002,sym,2,6.723920685701881,0.13991336174962757,0.6438773019307449,570.8923645019531,0.0,ok
3,900003,baseline_ppo,0,6.361273581719102,0.19977055163571636,0.5082632091214259,,0.0,ok
3,900003,so,0,8.42055909910271,0.1429165099009976,0.8529591254390776,1.0000008940696716,0.0,ok
3,900003,sl,0,8.116595758276032,0.156768355422248,0.7942556942526873,2.5230497121810913,0.0,ok
3,900003,gl,0,8.213682159405355,0.16521941959097414,0.7941716274208078,2.19517982006073,0.0,ok
3,900003,sym,0,6.59634421975495,0.15054496245402504,0.6115260175193815,1916.2681884765625,0.0,ok
3,900003,baseline_ppo,1,6.205155819599921,0.18944386447464695,0.5047313133868699,,0.0,ok
3,900003,so,1,8.837224737183133,0.15634009686431044,0.8858212925660733,1.0000008344650269,0.0,ok
3,900003,sl,1,8.189418102049427,0.15365604669487815,0.8087912157162402,1.9945586323738098,0.0,ok
3,900003,gl,1,8.137740773862804,0.15720246764582427,0.7972010662141567,2.0333075523376465,0.0,ok
3,900003,sym,1,6.607839565653506,0.1468804332395721,0.618410083170173,2311.1434326171875,0.0,ok
3,900003,baseline_ppo,2,6.053015956984284,0.18870190725050676,0.48691766912378376,,0.0,ok
3,900003,so,2,8.888286539097937,0.15851056669428126,0.8885462278103456,1.0000007152557373,0.0,ok
3,900003,sl,2,7.9559070365363045,0.15535635853457197,0.7766084010800968,2.8138492107391357,0.0,ok
3,900003,gl,2,7.955837584866275,0.15421338722792732,0.7779138911888005,2.52652907371521,0.0,ok
3,900003,sym,2,6.403842891993209,0.14820739626913795,0.5909218840551719,43175.087890625,0.0,ok
4,900004,baseline_ppo,0,6.294673513191841,0.19068615337682965,0.5140420081141716,,8.881784197001252e-16,ok
4,900004,so,0,8.74656136133078,0.15060953008527506,0.8828597787420575,1.0000008344650269,0.0,ok
4,900004,sl,0,8.176120895868653,0.15636007813521566,0.8027255557122951,2.6698529720306396,0.0,ok
4,900004,gl,0,8.097386087905985,0.1484055514835827,0.8049541724017512,2.470414161682129,0.0,ok
4,900004,sym,0,6.8013119957699955,0.15084234993743012,0.6370044369599782,880.9338684082031,8.881784197001252e-16,ok
4,900004,baseline_ppo,1,6.142074459480544,0.17032246147299837,0.5261971599997332,,0.0,ok
4,900004,so,1,8.542437302884474,0.1449110680442792,0.8660674758716176,1.0000009536743164,0.0,ok
4,900004,sl,1,7.949347192378059,0.1463718267285176,0.7893721900862487,2.3870028257369995,8.881784197001252e-16,ok
4,900004,gl,1,7.994244979347674,0.1513200802068116,0.787491389128721,2.8353564739227295,0.0,ok
4,900004,sym,1,6.813016652822425,0.14499943698516093,0.6479853498256763,1577.2182006835938,0.0,ok
4,900004,baseline_ppo,2,6.150212631152343,0.17512297516759776,0.5196807278030863,,8.881784197001252e-16,ok
4,900004,so,2,8.621376074452918,0.14655625917292533,0.8734890947686818,1.000001072883606,0.0,ok
4,900004,sl,2,8.022169506690954,0.15090406709854137,0.7913507780810197,2.314441442489624,0.0,ok
4,900004,gl,2,8.106743209121918,0.16037023814206258,0.7881650348169108,2.6139144897460938,0.0,ok
4,900004,sym,2,7.03938495878749,0.15170155510877373,0.6656377277098985,394.84832763671875,0.0,ok
