arm,seed,auc,r_task,r_geo,rho,orth_err,recon_err,status
so_cayley,8,8.35708983462918,0.15720957809996877,0.8236693720879965,1.0000008344650269,2.824527053357784e-07,0.0,ok
baseline_ppo,9,6.397694755956924,0.1800872858010328,0.5433824560102074,,,0.0,ok
so_expm,9,8.709428865239808,0.15644241727705177,0.8695383861795069,1.0000009536743164,1.8497498071035068e-06,0.0,ok
so_cayley,9,8.658225691926173,0.16934949990070775,0.8447777607181111,1.0000007152557373,2.981489301279172e-07,0.0,ok
baseline_ppo,10,6.359721127279959,0.1722530303461759,0.5494907939052831,,,0.0,ok
so_expm,10,8.631084869336897,0.15522424906400276,0.8618530605903205,1.0000009536743164,1.1618899546927963e-06,1.7763568394002505e-15,ok
so_cayley,10,8.113354648028572,0.1454822587371059,0.8104011531632237,1.000000774860382,2.294152441351116e-07,0.0,ok
baseline_ppo,11,6.627628450423592,0.1913130004658385,0.5554442488936087,,,2.6645352591003757e-15,ok
so_expm,11,8.806788326738594,0.15185579835159563,0.8887455629228614,1.0000008344650269,1.4197200002286081e-06,1.7763568394002505e-15,ok
so_cayley,11,8.435445128530676,0.14823549525746677,0.8473956357438117,1.000000774860382,1.788032141236684e-07,0.0,ok
baseline_ppo,12,6.447912235290271,0.1776213134013434,0.5532986438794684,,,0.0,ok
so_expm,12,8.676411183535691,0.15404396555353275,0.8690771241221579,1.000001072883606,7.24207000568633e-06,0.0,ok
so_cayley,12,8.372018370492162,0.1448230497528047,0.8448956497481093,1.000000774860382,2.107225206549046e-07,0.0,ok
baseline_ppo,13,6.302671346815771,0.15848459115279429,0.5636923866289979,,,8.881784197001252e-16,ok
so_expm,13,8.8927099355878,0.14808625057875374,0.9049831062156707,1.0000008344650269,2.0496052131058207e-06,0.0,ok
so_cayley,13,8.257326429055745,0.1544000452608776,0.815972554590134,1.0000008344650269,2.0971813363690472e-07,0.0,ok
baseline_ppo,14,6.620249443007816,0.1870797919010921,0.5610417474678407,,,1.7763568394002505e-15,ok
so_expm,14,8.94845826118567,0.17173720800104939,0.8765551085378974,1.0000009536743164,2.283977909023349e-06,0.0,ok
so_cayley,14,8.500785252439849,0.1617650105045514,0.8351461471514465,1.0000007152557373,2.3321668751741242e-07,0.0,ok
baseline_ppo,15,6.535590775370722,0.1962714811753,0.5361394236992424,,,0.0,ok
so_expm,15,8.670538001102129,0.15653672989792786,0.8643409925706995,1.0000008344650269,1.411470123224845e-06,0.0,ok
so_cayley,15,8.365163858661916,0.1548236702466353,0.8282102435112001,1.000000774860382,2.077370893499575e-07,0.0,ok
baseline_ppo,16,6.592810475779967,0.18445552182468755,0.5611018486090315,,,0.0,ok
so_expm,16,8.842251360434169,0.14947471727136713,0.8974201322536295,1.0000008344650269,1.5333725189581315e-06,0.0,ok
so_cayley,16,8.421154722336569,0.13648672167178016,0.8631116211752717,1.0000007152557373,2.076637398706893e-07,0.0,ok
baseline_ppo,17,6.413282385812729,0.18146252230284998,0.5428877940817736,,,0.0,ok
so_expm,17,9.030471932198642,0.16760148342312411,0.8936034376729901,1.0000009536743164,1.7369658649180053e-06,0.0,ok
so_cayley,17,8.401749212201484,0.15568813119792466,0.8321961236334097,1.0000008344650269,1.8706276479207862e-07,0.0,ok
baseline_ppo,18,6.519485472225772,0.1975184367920597,0.532270312868276,,,0.0,ok
so_expm,18,8.917928605241382,0.15957374070097038,0.89115561338601,1.0000009536743164,1.4795955851631959e-06,0.0,ok
so_cayley,18,8.335715646532403,0.15571504056364863,0.8233539796063678,1.0000007152557373,3.05984204418408e-07,0.0,ok
baseline_ppo,19,6.431351293182613,0.1780427614125024,0.5499981379600242,,,0.0,ok
so_expm,19,8.621145012172455,0.15000024414324384,0.8675091586170409,1.0000008940696716,3.2908625238192712e-06,1.7763568394002505e-15,ok
so_cayley,19,8.155868600294788,0.14864856181515462,0.811543749448781,1.0000007152557373,2.413472870443911e-07,0.0,ok
