arm,theta_lr,seed,auc,r_task,r_geo,rho,orth_err,recon_err,status
so_cayley,0.1,1,8.722830293128819,0.15695949366159587,0.8701928358966485,1.0000007152557373,2.308250014876334e-07,0.0,ok
baseline_ppo,,2,6.481804715438096,0.18803803511972347,0.5420253044457174,,,8.881784197001252e-16,ok
so_expm,0.0003,2,6.902888395393958,0.14657802168067094,0.6572618259715227,1.0000011920928955,2.352385087611708e-06,8.881784197001252e-16,ok
so_expm,0.003,2,8.072413793534174,0.1616856844049043,0.781765296135998,1.0000011920928955,2.3337909760279274e-06,1.7763568394002505e-15,ok
so_expm,0.01,2,8.664895253909576,0.1621792454267664,0.8559316120982171,1.0000009536743164,1.6346655300480961e-06,0.0,ok
so_expm,0.03,2,8.495980419333135,0.14716708351625557,0.8570267513157801,1.0000009536743164,1.460328467262073e-06,0.0,ok
so_expm,0.1,2,8.504709597817397,0.14491648907510724,0.8609821061751494,1.0000010132789612,2.2925462150880094e-06,0.0,ok
so_cayley,0.0003,2,7.10336897348466,0.16447183285853498,0.6565178349562611,1.000001311302185,4.121250397615128e-07,0.0,ok
so_cayley,0.003,2,7.953987207450079,0.14564893389046588,0.7914798532559225,1.0000009536743164,3.071895535722291e-07,0.0,ok
so_cayley,0.01,2,8.20546213087495,0.15632648079612027,0.8062672471627593,1.0000010132789612,2.020993188356357e-07,0.0,ok
so_cayley,0.03,2,8.372033230678847,0.14806304538907655,0.8397841887271031,1.0000007152557373,2.7555335979645434e-07,0.0,ok
so_cayley,0.1,2,8.685208972714491,0.15593379527677073,0.8673560314544166,1.0000008344650269,2.078120325821331e-07,0.0,ok
baseline_ppo,,3,6.503395465237937,0.18732089477923466,0.545852695877136,,,0.0,ok
so_expm,0.0003,3,6.853995033989603,0.15277631357353955,0.6416986939518712,1.000001072883606,1.6201651344971424e-06,0.0,ok
so_expm,0.003,3,7.945432040574923,0.15385127619904093,0.7774812373950767,1.0000008940696716,2.1765233648718407e-06,0.0,ok
so_expm,0.01,3,8.470513734146044,0.14620490469594158,0.8549053101929835,1.0000008344650269,1.3780198928614595e-06,0.0,ok
so_expm,0.03,3,8.482135154322703,0.15851171304932424,0.8379569599770942,1.0000008940696716,9.343823861307499e-07,0.0,ok
so_expm,0.1,3,8.612954742228444,0.14648397881620434,0.8723039282348938,1.0000009536743164,3.0408027444916996e-06,0.0,ok
so_cayley,0.0003,3,7.101300921492482,0.17079304327742004,0.6463626869497201,1.0000008344650269,4.4241808128120397e-07,0.0,ok
so_cayley,0.003,3,7.8689508221355835,0.15293582912337253,0.7693376199071608,1.0000008344650269,2.3468959886585594e-07,1.7763568394002505e-15,ok
so_cayley,0.01,3,7.986236912131204,0.14170799449589222,0.8003637770342331,1.0000009536743164,2.7983016059884847e-07,0.0,ok
so_cayley,0.03,3,8.222843009565397,0.14308372659977517,0.8282786393762877,1.0000007152557373,3.0079573032359974e-07,0.0,ok
so_cayley,0.1,3,8.326442383531035,0.14614380177426428,0.8368153056575608,1.0000007152557373,2.5223029898047145e-07,0.0,ok
baseline_ppo,,4,6.658981081208576,0.1907717880093884,0.5599834830638332,,,8.881784197001252e-16,ok
so_expm,0.0003,4,6.8739969262271625,0.17534271396545134,0.6107118086427916,1.0000010132789612,1.7798549150072063e-06,0.0,ok
so_expm,0.003,4,8.000650785745359,0.16772026485042293,0.7637861901253152,1.0000008940696716,2.056520125526262e-06,0.0,ok
so_expm,0.01,4,8.393843040560188,0.1644351509948285,0.8180992280236137,1.0000008344650269,2.0074167788042274e-06,0.0,ok
so_expm,0.03,4,8.890901023098523,0.16530894888930878,0.8792396494646867,1.0000009536743164,1.394476914384768e-06,0.0,ok
so_expm,0.1,4,8.666094814117127,0.15637373575711827,0.8639495361667747,1.0000008344650269,2.2432304176422946e-06,1.7763568394002505e-15,ok
so_cayley,0.0003,4,7.136841617924015,0.17716409992857804,0.6415540087979442,1.000001072883606,6.084224515312542e-07,8.881784197001252e-16,ok
so_cayley,0.003,4,8.066737676547897,0.174268231727092,0.7622386006355285,1.0000010132789612,3.560565633442536e-07,0.0,ok
so_cayley,0.01,4,8.013329179936658,0.15146066307778666,0.7898475131820579,1.0000008344650269,2.442949926795279e-07,0.0,ok
so_cayley,0.03,4,8.45890717726064,0.1630119382764491,0.8283625107790034,1.0000007152557373,2.5507307355177034e-07,0.0,ok
so_cayley,0.1,4,8.743756549660185,0.15553233535001956,0.8752560325620078,1.0000008344650269,2.27791654427989e-07,1.7763568394002505e-15,ok
baseline_ppo,,5,6.674923849939847,0.19191242380989923,0.5601332676424334,,,0.0,ok
so_expm,0.0003,5,6.764969500864172,0.16923438264551252,0.6061913993049955,1.000001072883606,1.2552533796839072e-06,8.881784197001252e-16,ok
so_expm,0.003,5,7.8228743742678795,0.1529101609544527,0.7636058633612625,1.0000009536743164,2.4525239523676134e-06,0.0,ok
so_expm,0.01,5,8.181747102490727,0.16137113895614041,0.7956349937881654,1.0000009536743164,1.5702029716457844e-06,0.0,ok
so_expm,0.03,5,8.605070818353107,0.15769487695681375,0.8545766127337391,1.0000008344650269,1.2645317652992816e-06,0.0,ok
