w,arm,seed,r_task,r_geo,auc,rho,align_env,align_ref,frob_env,frob_ref,gref_orth,recon_err,status
0.4,baseline_ppo,6,0.1743520928696093,0.563612123193716,6.49116823806936,,,,,,1.1920928955078125e-07,0.0,ok
0.4,so+M_env,6,0.14905002795980934,0.8805058782765641,8.704917402439303,1.0000009536743164,0.8380337189628407,0.8380337189628407,0.8276201939778525,0.8276201939778525,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,6,0.16354608242841745,0.5137978129617947,5.968646855280821,1.0000008940696716,0.031892921762580975,0.7798420662921244,0.021141757914589766,0.772316179802269,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+G_rand,6,0.14014067949469272,0.5171882935257007,5.720556630357286,1.0000008344650269,0.02182821622982013,0.7315928119334509,-0.014663533563839422,0.7826596926463903,1.1920928955078125e-07,1.7763568394002505e-15,ok
0.4,so+no_aux,6,0.16101245731094638,0.5188916316851352,5.980755154240868,1.0000009536743164,-0.05302367268549736,,-0.04817356904931514,,1.1920928955078125e-07,0.0,ok
0.4,baseline_ppo,7,0.18192012962026818,0.5452376041238196,6.436954608204192,,,,,,1.1920928955078125e-07,0.0,ok
0.4,so+M_env,7,0.14568503718743997,0.8409084867909395,8.349938166251766,1.0000009536743164,0.7146715701611319,0.7146715701611319,0.7431539010408844,0.7431539010408844,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,7,0.14629151848301333,0.5222349122381148,5.833480781277644,1.0000008344650269,0.034423639537091856,0.7471757291848014,0.057571501406963925,0.7151407003070231,1.1920928955078125e-07,0.0,ok
0.4,so+G_rand,7,0.14560841034336205,0.5314170584081052,5.8964828062279215,1.0000009536743164,-6.7228061709631234e-06,0.7545068930480483,-0.027827802317176787,0.773520797748329,1.1920928955078125e-07,0.0,ok
0.4,so+no_aux,7,0.1527801214891992,0.5195413492137411,5.884166649883145,1.0000009536743164,0.03910579267222808,,-0.014889152450735472,,1.1920928955078125e-07,1.7763568394002505e-15,ok
0.4,baseline_ppo,8,0.19677781095452598,0.5357911716757031,6.540013775730275,,,,,,1.1920928955078125e-07,0.0,ok
0.4,so+M_env,8,0.17150935304776235,0.8858850026334015,9.014900698889427,1.0000008344650269,0.826934341147258,0.826934341147258,0.8347809424687748,0.8347809424687748,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,8,0.17436757084489746,0.5290091681208617,6.225921166202364,1.0000009536743164,0.020274185818663696,0.7712725524396795,0.0416330256652157,0.7746393832704558,1.1920928955078125e-07,0.0,ok
0.4,so+G_rand,8,0.1577177181014566,0.5153517057817739,5.9194112917487445,1.0000008344650269,-0.009292885262342728,0.7926980522437018,0.003129525148083722,0.7710998878169153,1.1920928955078125e-07,0.0,ok
0.4,so+no_aux,8,0.15811639734497243,0.5336740972676625,6.067199489708995,1.0000008344650269,-0.03371751262697088,,-0.00496590068588643,,1.1920928955078125e-07,0.0,ok
0.4,baseline_ppo,9,0.1800872858010328,0.5433824560102074,6.397694755956924,,,,,,1.1920928955078125e-07,0.0,ok
0.4,so+M_env,9,0.15644241727705177,0.8695383861795069,8.709428865239808,1.0000009536743164,0.731726163339366,0.731726163339366,0.7800800986264855,0.7800800986264855,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,9,0.15520184780806115,0.5202741653169661,5.920319250114638,1.0000008344650269,0.022272797646328134,0.7638715098775,0.02739540098605059,0.7680248462344484,1.1920928955078125e-07,0.0,ok
0.4,so+G_rand,9,0.13782586463814264,0.4428107041609318,5.103266236754237,1.0000008344650269,-0.1428589929830264,0.7440054320966485,-0.04210381869178412,0.7401367157612413,1.1920928955078125e-07,0.0,ok
0.4,so+no_aux,9,0.1518559951281116,0.5212641079820848,5.891131971919945,1.0000008940696716,-0.030949014971190313,,0.00392821346332711,,1.1920928955078125e-07,0.0,ok
0.4,baseline_ppo,10,0.1722530303461759,0.5494907939052831,6.359721127279959,,,,,,1.1920928955078125e-07,0.0,ok
0.4,so+M_env,10,0.15522424906400276,0.8618530605903205,8.631084869336897,1.0000009536743164,0.7556127933853038,0.7556127933853038,0.7918997739751732,0.7918997739751732,1.1920928955078125e-07,1.7763568394002505e-15,ok
0.4,so+G_ref,10,0.14633844829526355,0.5078715149034435,5.727283792651176,1.0000009536743164,-0.004925689523129261,0.6813034088666561,0.05426045942574395,0.7121892059688819,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+G_rand,10,0.14935658030769827,0.4816537743201013,5.550641333313166,1.0000008344650269,-0.027895854397690045,0.7839829098307776,-0.014081729527956782,0.7770498626690366,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+no_aux,10,0.1571650230947862,0.5150760481411746,5.905792362503724,1.0000008940696716,-0.018225921222078733,,-0.008945867457614817,,1.1920928955078125e-07,0.0,ok
0.4,baseline_ppo,11,0.1913130004658385,0.5554442488936087,6.627628450423592,,,,,,1.1920928955078125e-07,2.6645352591003757e-15,ok
0.4,so+M_env,11,0.15185579835159563,0.8887455629228614,8.806788326738594,1.0000008344650269,0.8304663969421058,0.8304663969421058,0.8102092629742512,0.8102092629742512,1.1920928955078125e-07,1.7763568394002505e-15,ok
0.4,so+G_ref,11,0.16354852816533993,0.5385545128242424,6.1698576153318205,1.000001072883606,0.0035947544532767862,0.7970816402528723,0.032786619812039605,0.7910621306665232,1.1920928955078125e-07,0.0,ok
0.4,so+G_rand,11,0.15678006055811938,0.4879348810200735,5.684629336678091,1.0000009536743164,-0.042914417584075784,0.7874918535395541,-0.012261853379442834,0.8018853880976703,1.1920928955078125e-07,0.0,ok
0.4,so+no_aux,11,0.14719059434135526,0.5251475191324794,5.868151865643017,1.0000009536743164,0.043406091062217905,,0.016280077341133736,,1.1920928955078125e-07,0.0,ok
0.4,baseline_ppo,12,0.1776213134013434,0.5532986438794684,6.447912235290271,,,,,,1.1920928955078125e-07,0.0,ok
