seed,split,arm,prompt_idx,eval_seed,reward,status
1,train,structured,11,0,0.614162128924303,ok
1,train,control,11,0,0.7855595153700721,ok
1,train,structured,0,1,0.6045376648314998,ok
1,train,control,0,1,0.6208922213624573,ok
1,train,structured,1,1,0.6149916953888154,ok
1,train,control,1,1,0.6072027812922416,ok
1,train,structured,2,1,0.6313287681543719,ok
1,train,control,2,1,0.6201703479792946,ok
1,train,structured,3,1,0.6290337133440833,ok
1,train,control,3,1,0.7923036285541045,ok
1,train,structured,4,1,0.5789923563139907,ok
1,train,control,4,1,0.7893837868619169,ok
1,train,structured,5,1,0.6182922692672314,ok
1,train,control,5,1,0.5905692314929253,ok
1,train,structured,6,1,0.6498354309476384,ok
1,train,control,6,1,0.7914390064771167,ok
1,train,structured,7,1,0.6368646576504642,ok
1,train,control,7,1,0.6105836194063907,ok
1,train,structured,8,1,0.6030975729466218,ok
1,train,control,8,1,0.7801267461167821,ok
1,train,structured,9,1,0.6187165791260784,ok
1,train,control,9,1,0.6187612113041261,ok
1,train,structured,10,1,0.6104224295189874,ok
1,train,control,10,1,0.615450274506638,ok
1,train,structured,11,1,0.575330560340992,ok
1,train,control,11,1,0.7855595153700721,ok
1,train,structured,0,2,0.6030701107609988,ok
1,train,control,0,2,0.7303299548846639,ok
1,train,structured,1,2,0.6287670276628845,ok
1,train,control,1,2,0.5853016454791674,ok
1,train,structured,2,2,0.6058404833054679,ok
1,train,control,2,2,0.6264804595065022,ok
1,train,structured,3,2,0.6174505204565643,ok
1,train,control,3,2,0.6393342781128604,ok
1,train,structured,4,2,0.7645409660460782,ok
1,train,control,4,2,0.7893837868619169,ok
1,train,structured,5,2,0.6427766343026748,ok
1,train,control,5,2,0.7306976609127418,ok
1,train,structured,6,2,0.7596416035416758,ok
1,train,control,6,2,0.7914390064771167,ok
1,train,structured,7,2,0.5995036791811094,ok
1,train,control,7,2,0.6926416041802881,ok
1,train,structured,8,2,0.6224911233597474,ok
1,train,control,8,2,0.7801267461167821,ok
1,train,structured,9,2,0.6135114727802237,ok
1,train,control,9,2,0.6462456239386261,ok
1,train,structured,10,2,0.6698073297368189,ok
1,train,control,10,2,0.6216780213760466,ok
1,train,structured,11,2,0.6037823740889139,ok
1,train,control,11,2,0.7855595153700721,ok
2,test,structured,0,0,0.6243599732556507,ok
2,test,control,0,0,0.6194065232238186,ok
2,test,structured,1,0,0.5980755006870138,ok
2,test,control,1,0,0.6243536258894542,ok
2,test,structured,2,0,0.6255907145003806,ok
2,test,control,2,0,0.6220972821820236,ok
2,test,structured,3,0,0.6285949236989508,ok
2,test,control,3,0,0.6543791403863033,ok
2,test,structured,4,0,0.5817096144390653,ok
2,test,control,4,0,0.6304892546258021,ok
2,test,structured,5,0,0.6523739557025094,ok
2,test,control,5,0,0.5979093142573337,ok
2,test,structured,6,0,0.6220546129920526,ok
2,test,control,6,0,0.6295017322359462,ok
2,test,structured,7,0,0.6180116151143603,ok
2,test,control,7,0,0.609436173835486,ok
2,test,structured,8,0,0.6117617907397928,ok
2,test,control,8,0,0.5981937432264568,ok
2,test,structured,9,0,0.6135265434623686,ok
2,test,control,9,0,0.6067268977352333,ok
2,test,structured,10,0,0.6026610379953544,ok
2,test,control,10,0,0.6147035414254919,ok
2,test,structured,11,0,0.6092826309681738,ok
2,test,control,11,0,0.6356225420568905,ok
2,test,structured,0,1,0.615780019612656,ok
2,test,control,0,1,0.6089569286413867,ok
2,test,structured,1,1,0.6053862736099564,ok
2,test,control,1,1,0.590886775418328,ok
2,test,structured,2,1,0.6098602857304862,ok
2,test,control,2,1,0.6772678857846846,ok
2,test,structured,3,1,0.6228562029772183,ok
2,test,control,3,1,0.6101312379605703,ok
2,test,structured,4,1,0.5990770293227372,ok
2,test,control,4,1,0.630007917881037,ok
2,test,structured,5,1,0.6301851775213182,ok
2,test,control,5,1,0.5836907554932693,ok
2,test,structured,6,1,0.6193123755744014,ok
2,test,control,6,1,0.6104462032354905,ok
2,test,structured,7,1,0.6093251436561118,ok
2,test,control,7,1,0.6231030388445284,ok
2,test,structured,8,1,0.6301474394519068,ok
2,test,control,8,1,0.6028314015575197,ok
2,test,structured,9,1,0.6360941761102495,ok
2,test,control,9,1,0.630076079403294,ok
2,test,structured,10,1,0.621139128231527,ok
2,test,control,10,1,0.6309707517411312,ok
2,test,structured,11,1,0.6432101098512518,ok
2,test,control,11,1,0.6096478060691294,ok
2,test,structured,0,2,0.6287091606938955,ok
2,test,control,0,2,0.6260279763922711,ok
2,test,structured,1,2,0.6257664440777688,ok
2,test,control,1,2,0.5941389656706568,ok
2,test,structured,2,2,0.6216109031042608,ok
2,test,control,2,2,0.6262142050383845,ok
2,test,structured,3,2,0.5732407116422951,ok
2,test,control,3,2,0.6440239724165718,ok
2,test,structured,4,2,0.6151733414553755,ok
2,test,control,4,2,0.6265625056308465,ok
2,test,structured,5,2,0.633388399365555,ok
2,test,control,5,2,0.5905655034677991,ok
2,test,structured,6,2,0.6321696291280986,ok
2,test,control,6,2,0.6050918758227265,ok
2,test,structured,7,2,0.601484709200425,ok
2,test,control,7,2,0.5891127541777409,ok
2,test,structured,8,2,0.5811332954649483,ok
2,test,control,8,2,0.6187501984858933,ok
2,test,structured,9,2,0.6059873632555303,ok
2,test,control,9,2,0.6335008032740249,ok
2,test,structured,10,2,0.6209279103279143,ok
2,test,control,10,2,0.6141582420345446,ok
2,test,structured,11,2,0.6080179627356496,ok
2,test,control,11,2,0.6244258488572274,ok
2,train,structured,0,0,0.6004041819381334,ok
2,train,control,0,0,0.6288211303760154,ok
2,train,structured,1,0,0.5910976513998195,ok
2,train,control,1,0,0.5907021771872332,ok
2,train,structured,2,0,0.59678037135522,ok
2,train,control,2,0,0.6077338699967119,ok
2,train,structured,3,0,0.6188368955724798,ok
2,train,control,3,0,0.5959561994895485,ok
2,train,structured,4,0,0.7088321498992365,ok
2,train,control,4,0,0.6101540301843161,ok
2,train,structured,5,0,0.6008849501752801,ok
2,train,control,5,0,0.6047336405161636,ok
2,train,structured,6,0,0.5775466129840217,ok
2,train,control,6,0,0.5957285247825338,ok
2,train,structured,7,0,0.6001999631126871,ok
2,train,control,7,0,0.6166768452640885,ok
2,train,structured,8,0,0.5843915582881906,ok
2,train,control,8,0,0.6086409169714376,ok
2,train,structured,9,0,0.6052224231496798,ok
2,train,control,9,0,0.6034124322148078,ok
2,train,structured,10,0,0.6039565763780497,ok
2,train,control,10,0,0.6112587365596747,ok
2,train,structured,11,0,0.611466365232482,ok
2,train,control,11,0,0.6253662159438579,ok
2,train,structured,0,1,0.6382926000340302,ok
2,train,control,0,1,0.6024826907350299,ok
2,train,structured,1,1,0.6096915392382504,ok
2,train,control,1,1,0.5912945358486971,ok
2,train,structured,2,1,0.6285885585954165,ok
2,train,control,2,1,0.6055904379271275,ok
2,train,structured,3,1,0.6684447573595769,ok
2,train,control,3,1,0.5940478233338823,ok
2,train,structured,4,1,0.5825665103846075,ok
2,train,control,4,1,0.5737689214579662,ok
2,train,structured,5,1,0.6333125553584456,ok
2,train,control,5,1,0.6285572804385582,ok
2,train,structured,6,1,0.7651647682621441,ok
2,train,control,6,1,0.624844465806466,ok
2,train,structured,7,1,0.6347429932489759,ok
2,train,control,7,1,0.6061138285203624,ok
2,train,structured,8,1,0.6107157711999116,ok
2,train,control,8,1,0.5639853214889181,ok
2,train,structured,9,1,0.6104955089699009,ok
2,train,control,9,1,0.6171472330939131,ok
2,train,structured,10,1,0.5812976527182709,ok
2,train,control,10,1,0.594231288649042,ok
2,train,structured,11,1,0.6025874985139746,ok
2,train,control,11,1,0.6348249806375585,ok
2,train,structured,0,2,0.608934419869678,ok
2,train,control,0,2,0.6067134234706238,ok
2,train,structured,1,2,0.6461825790934472,ok
2,train,control,1,2,0.6393604214468662,ok
2,train,structured,2,2,0.6148463819301407,ok
2,train,control,2,2,0.6280513918993943,ok
2,train,structured,3,2,0.6228143677750487,ok
2,train,control,3,2,0.6216952145943434,ok
2,train,structured,4,2,0.7457215961577834,ok
2,train,control,4,2,0.6086742293064691,ok
2,train,structured,5,2,0.6207028900353013,ok
2,train,control,5,2,0.5935760107263979,ok
2,train,structured,6,2,0.7534653819273109,ok
2,train,control,6,2,0.6189595059940446,ok
2,train,structured,7,2,0.6160820842542181,ok
2,train,control,7,2,0.598574574256007,ok
2,train,structured,8,2,0.600800562090708,ok
2,train,control,8,2,0.6063355675633657,ok
2,train,structured,9,2,0.591869561047308,ok
2,train,control,9,2,0.6253567698664004,ok
2,train,structured,10,2,0.6369655457320678,ok
2,train,control,10,2,0.6109460907703851,ok
2,train,structured,11,2,0.612114510331121,ok
2,train,control,11,2,0.6062773972871515,ok
3,test,structured,0,0,0.5987612344195007,ok
3,test,control,0,0,0.6092529479559193,ok
3,test,structured,1,0,0.6178790790023141,ok
3,test,control,1,0,0.5869583912914964,ok
3,test,structured,2,0,0.5916412554954416,ok
3,test,control,2,0,0.6251141363867415,ok
3,test,structured,3,0,0.5901979163449541,ok
3,test,control,3,0,0.6238950976857603,ok
3,test,structured,4,0,0.6088559809953508,ok
3,test,control,4,0,0.6228312272100041,ok
3,test,structured,5,0,0.6075894128203349,ok
3,test,control,5,0,0.6326366097410694,ok
3,test,structured,6,0,0.6048939257736653,ok
3,test,control,6,0,0.5902082032629151,ok
3,test,structured,7,0,0.6099298304109991,ok
3,test,control,7,0,0.6233251159524489,ok
3,test,structured,8,0,0.6091890431113052,ok
3,test,control,8,0,0.6164744695286565,ok
3,test,structured,9,0,0.6065055899864347,ok
3,test,control,9,0,0.6227770163716805,ok
3,test,structured,10,0,0.6012900631041685,ok
3,test,control,10,0,0.595459008409192,ok
3,test,structured,11,0,0.5860117887353159,ok
3,test,control,11,0,0.6120115423606541,ok
3,test,structured,0,1,0.5965365688669904,ok
3,test,control,0,1,0.5846245710951375,ok
3,test,structured,1,1,0.5912918415443384,ok
3,test,control,1,1,0.6028582621479711,ok
3,test,structured,2,1,0.6129820583448905,ok
3,test,control,2,1,0.5948218370473978,ok
3,test,structured,3,1,0.5967218741573591,ok
3,test,control,3,1,0.6187376170857484,ok
3,test,structured,4,1,0.5857936720407483,ok
3,test,control,4,1,0.6037502325034191,ok
3,test,structured,5,1,0.5916425235398268,ok
3,test,control,5,1,0.6008002389027425,ok
3,test,structured,6,1,0.5794487241106593,ok
3,test,control,6,1,0.5758020932697586,ok
3,test,structured,7,1,0.6096827738413868,ok
3,test,control,7,1,0.6506616319697412,ok
3,test,structured,8,1,0.6124862679394917,ok
3,test,control,8,1,0.5949608053007017,ok
3,test,structured,9,1,0.5881591388112507,ok
3,test,control,9,1,0.5992986322567115,ok
3,test,structured,10,1,0.5809608459086063,ok
3,test,control,10,1,0.5886148220880478,ok
3,test,structured,11,1,0.6358345655954855,ok
3,test,control,11,1,0.5815220400717734,ok
3,test,structured,0,2,0.6090027794759296,ok
3,test,control,0,2,0.5836574240526718,ok
3,test,structured,1,2,0.5814908089920405,ok
3,test,control,1,2,0.6217315471239213,ok
3,test,structured,2,2,0.6115525641226963,ok
3,test,control,2,2,0.6216321437402236,ok
3,test,structured,3,2,0.6138240040761074,ok
3,test,control,3,2,0.6174112782365709,ok
3,test,structured,4,2,0.6109881011897699,ok
3,test,control,4,2,0.6116845947526167,ok
3,test,structured,5,2,0.5941453841138236,ok
3,test,control,5,2,0.5905065615724899,ok
3,test,structured,6,2,0.6252135757862606,ok
3,test,control,6,2,0.5918907718483669,ok
3,test,structured,7,2,0.613801838253649,ok
3,test,control,7,2,0.5726726700382709,ok
3,test,structured,8,2,0.5775040635236295,ok
3,test,control,8,2,0.5865974588690056,ok
3,test,structured,9,2,0.578577481675255,ok
3,test,control,9,2,0.6130054542374368,ok
3,test,structured,10,2,0.6057247395728454,ok
3,test,control,10,2,0.6034993379214879,ok
3,test,structured,11,2,0.6111110286996936,ok
3,test,control,11,2,0.6120805901913805,ok
3,train,structured,0,0,0.6140659201223596,ok
3,train,control,0,0,0.6702386646218061,ok
3,train,structured,1,0,0.6285734726555439,ok
3,train,control,1,0,0.6115521730319585,ok
3,train,structured,2,0,0.6038899898324558,ok
3,train,control,2,0,0.5995504858781335,ok
3,train,structured,3,0,0.6164895242901972,ok
3,train,control,3,0,0.6169385955731312,ok
3,train,structured,4,0,0.6020547875112588,ok
3,train,control,4,0,0.5721793694026004,ok
3,train,structured,5,0,0.5860627678204046,ok
3,train,control,5,0,0.5882284980293587,ok
3,train,structured,6,0,0.5818588947380362,ok
