w,c_geo,arm,seed,r_task,r_geo,auc,rho,recon_err,status
0.6,0.05,so(32),1,0.14874187505439632,0.796706650855951,10.598039588304848,1.0000009536743164,1.7763568394002505e-15,ok
0.6,0.25,so(32),1,0.13451878409113371,0.8824816300509498,11.505221191696688,1.000001072883606,0.0,ok
0.6,1.0,so(32),1,0.14988893052910318,0.8579867281227683,11.33746430257249,1.0000008344650269,0.0,ok
0.6,,baseline_ppo,2,0.1573931057422714,0.5361911281983367,7.5615095363802665,,0.0,ok
0.6,0.0,so(32),2,0.14679035553514716,0.5255680885739314,7.3546171982481505,1.0000008344650269,0.0,ok
0.6,0.05,so(32),2,0.14537502226108792,0.78662637846043,10.452658575668798,1.000001072883606,1.7763568394002505e-15,ok
0.6,0.25,so(32),2,0.15063099197593874,0.8460491584214073,11.197430299435428,1.000001072883606,1.7763568394002505e-15,ok
0.6,1.0,so(32),2,0.15356607169616882,0.8766503765366971,11.583301723849845,1.0000008344650269,0.0,ok
0.6,,baseline_ppo,3,0.16926851471966262,0.5602549474094063,7.941866022884343,,0.0,ok
0.6,0.0,so(32),3,0.1445313275334091,0.5273235095886669,7.360098876131531,1.0000009536743164,0.0,ok
0.6,0.05,so(32),3,0.13546059091066082,0.7864739301562464,10.371380315025865,1.000001072883606,0.0,ok
0.6,0.25,so(32),3,0.15322927515925977,0.8544853957998567,11.316337535611295,1.0000009536743164,1.7763568394002505e-15,ok
0.6,1.0,so(32),3,0.13562187084465485,0.8474394300054447,11.096233546281754,1.0000008344650269,1.7763568394002505e-15,ok
0.6,,baseline_ppo,4,0.17859056238832519,0.5679771173974809,8.107430687446273,,0.0,ok
0.6,0.0,so(32),4,0.1458432557814918,0.5221158954778375,7.309199936542098,1.0000009536743164,8.881784197001252e-16,ok
0.6,0.05,so(32),4,0.14901498810786867,0.7780800119129321,10.378868726627706,1.0000011920928955,0.0,ok
0.6,0.25,so(32),4,0.1566934260930135,0.8271004432848965,11.022999321071705,1.0000008344650269,0.0,ok
0.6,1.0,so(32),4,0.15201752648346833,0.8613379975747316,11.392331558930561,1.0000008940696716,0.0,ok
0.6,,baseline_ppo,5,0.17264376657130792,0.5713884071696548,8.101328763249175,,0.0,ok
0.6,0.0,so(32),5,0.15273310168753582,0.5177736072255764,7.311439223398831,1.0000008344650269,0.0,ok
0.6,0.05,so(32),5,0.15129328998249422,0.7823628628047804,10.445492198708559,1.0000011920928955,0.0,ok
0.6,0.25,so(32),5,0.15103918444016237,0.8451957512957043,11.194421237410133,1.0000009536743164,0.0,ok
0.6,1.0,so(32),5,0.13650798840349332,0.850880399604328,11.148056781826673,1.0000010132789612,0.0,ok
0.6,,baseline_ppo,6,0.16410027820624412,0.588746958084777,8.238906942123926,,0.0,ok
0.6,0.0,so(32),6,0.15854646483132767,0.5058993624221534,7.214329057294943,1.0000008344650269,0.0,ok
0.6,0.05,so(32),6,0.13967585412819689,0.786117689979573,10.396598483809452,1.000001072883606,1.7763568394002505e-15,ok
0.6,0.25,so(32),6,0.12786255780921646,0.8805993452169624,11.426962673707042,1.0000009536743164,0.0,ok
0.6,1.0,so(32),6,0.14794082466403177,0.8805787075456852,11.58624454136781,1.0000009536743164,0.0,ok
0.6,,baseline_ppo,7,0.15761273301137677,0.5482313496243829,7.706387003424272,,0.0,ok
0.6,0.0,so(32),7,0.1475356210152353,0.5275960903726672,7.378366686230669,1.000001072883606,0.0,ok
0.6,0.05,so(32),7,0.1401931043196472,0.7845553720706298,10.38157331709622,1.0000011920928955,1.7763568394002505e-15,ok
0.6,0.25,so(32),7,0.13198347561462592,0.8480746378540837,11.073527086766775,1.0000009536743164,1.7763568394002505e-15,ok
0.6,1.0,so(32),7,0.13140699572030703,0.8593590064408725,11.20179150865794,1.0000009536743164,0.0,ok
0.6,,baseline_ppo,8,0.18234116068426243,0.5341421228514984,7.738894332277287,,8.881784197001252e-16,ok
0.6,0.0,so(32),8,0.15959174223813613,0.5402865423131115,7.6363074366470896,1.0000009536743164,0.0,ok
0.6,0.05,so(32),8,0.14686479599859614,0.771139530822231,10.284225134768421,1.000001072883606,3.552713678800501e-15,ok
0.6,0.25,so(32),8,0.1450376267916852,0.872462969118574,11.471779598047247,1.0000009536743164,0.0,ok
0.6,1.0,so(32),8,0.14158770442357535,0.8915163461617814,11.672847081227651,1.0000009536743164,0.0,ok
0.6,,baseline_ppo,9,0.15373327131714346,0.534794785227161,7.516685619020653,,1.7763568394002505e-15,ok
0.6,0.0,so(32),9,0.1432450947147142,0.5224894048216908,7.290398323968191,1.0000009536743164,0.0,ok
0.6,0.05,so(32),9,0.13588178048858926,0.7908845376583437,10.421266581132736,1.0000010132789612,1.7763568394002505e-15,ok
0.6,0.25,so(32),9,0.13452569815008292,0.8395535642986808,10.988532687824629,1.0000009536743164,0.0,ok
0.6,1.0,so(32),9,0.15293561003059913,0.8748666167408228,11.55836231347602,1.0000008344650269,0.0,ok
0.8,,baseline_ppo,0,0.15843562886294726,0.5566880204367762,9.379859701615475,,1.7763568394002505e-15,ok
0.8,0.0,so(32),0,0.15017149968032195,0.5116019807125132,8.636149972423633,1.0000009536743164,0.0,ok
0.8,0.05,so(32),0,0.14564886703640662,0.7790573952989652,12.860312169604013,1.000001072883606,1.7763568394002505e-15,ok
0.8,0.25,so(32),0,0.13985536595236636,0.8473299644770722,13.922212057667908,1.0000009536743164,0.0,ok
0.8,1.0,so(32),0,0.13894785721029887,0.892013413110003,14.628638588422367,1.0000008940696716,0.0,ok
0.8,,baseline_ppo,1,0.14524708466010952,0.5720544490323712,9.568419475537537,,0.0,ok
0.8,0.0,so(32),1,0.1399374160801418,0.5395289781727829,9.040140496556985,1.0000008940696716,0.0,ok
0.8,0.05,so(32),1,0.13868355384933084,0.7865837142324076,12.958419621040356,1.0000011920928955,0.0,ok
0.8,0.25,so(32),1,0.13993209290610542,0.874606842332147,14.356334988252183,1.0000009536743164,1.7763568394002505e-15,ok
0.8,1.0,so(32),1,0.1505769692973539,0.8589205043490356,14.149761856063952,1.0000009536743164,0.0,ok
