arm,theta_lr,seed,auc,r_task,r_geo,rho,recon_err,status
so,0.003,7,8.117875348926306,0.1583518010652278,0.7930131006956256,1.0000009536743164,0.0,ok
so,0.01,7,8.21452932262288,0.14425668569487696,0.8256849454906924,1.0000009536743164,1.7763568394002505e-15,ok
so,0.03,7,8.349938166251766,0.14568503718743997,0.8409084867909395,1.0000009536743164,0.0,ok
so,0.1,7,8.823289452871899,0.16614742590728165,0.8700198922427838,1.0000009536743164,0.0,ok
sl,0.0003,7,6.77757943005072,0.15268249429018635,0.6317136727931134,3.774058222770691,0.0,ok
sl,0.003,7,7.529357371531988,0.15284543859723618,0.7269892314403009,2.426707625389099,0.0,ok
sl,0.01,7,7.977822044156388,0.15344173823460863,0.7823274517503257,2.2353845834732056,0.0,ok
sl,0.03,7,8.019965576790977,0.1512911524048091,0.7910120421879303,2.3514819145202637,0.0,ok
sl,0.1,7,7.839481790087074,0.18326179354282995,0.7204597596409266,15.49204969406128,0.0,ok
gl,0.0003,7,6.6618026476117596,0.14549613085553303,0.6282211321019257,3.4956417083740234,0.0,ok
gl,0.003,7,7.532573289135686,0.15226221100088383,0.7281649205633439,2.46541166305542,0.0,ok
gl,0.01,7,7.821270685832264,0.1449738136736966,0.7752042013557007,2.2676279544830322,0.0,ok
gl,0.03,7,7.950913188692925,0.14307303213841394,0.7948295894075806,2.2444000244140625,0.0,ok
gl,0.1,7,7.252715940335734,0.1475174997633041,0.7001991134043163,15.614607334136963,0.0,ok
sym,0.0003,7,6.707781991766698,0.15340677264584682,0.6220379615167156,11.118624687194824,0.0,ok
sym,0.003,7,7.140966955358043,0.15264931242831425,0.6777527878179836,14.5548095703125,0.0,ok
sym,0.01,7,6.658341834399864,0.1388876603220621,0.6377502296497425,86.06235885620117,8.881784197001252e-16,ok
sym,0.03,7,6.597860811038072,0.14329399779492397,0.6227648707004729,2580.814697265625,0.0,ok
sym,0.1,7,6.582692339006264,0.1371136122564143,0.6301961962984252,54263.78515625,0.0,ok
baseline_ppo,,8,6.540013775730275,0.19677781095452598,0.5357911716757031,,0.0,ok
so,0.0003,8,6.82615726529949,0.1574704471602595,0.6308459993109107,1.0000009536743164,8.881784197001252e-16,ok
so,0.003,8,7.921107705415704,0.1477935642286751,0.7829056147240258,1.000001072883606,0.0,ok
so,0.01,8,8.450325593703038,0.15314886898365254,0.8420607711274488,1.0000009536743164,0.0,ok
so,0.03,8,9.014900698889427,0.17150935304776235,0.8858850026334015,1.0000008344650269,0.0,ok
so,0.1,8,8.708455013522853,0.15435497915016158,0.8723185780390786,1.0000009536743164,0.0,ok
sl,0.0003,8,6.7678041754171145,0.16489551610726097,0.6123655678297237,3.9678397178649902,8.881784197001252e-16,ok
sl,0.003,8,7.767496969179093,0.16354127448374545,0.7405615843184913,2.0874881744384766,8.881784197001252e-16,ok
sl,0.01,8,8.269256580130554,0.16688450462518173,0.7986839836915334,2.0700873136520386,0.0,ok
sl,0.03,8,8.329836975329691,0.1605956860485681,0.815560891736547,2.039963722229004,0.0,ok
sl,0.1,8,7.265104735419308,0.15219318106254612,0.6936422077839572,30.246448516845703,0.0,ok
gl,0.0003,8,6.713291524980983,0.16305346185205105,0.6079846895014557,4.1960930824279785,0.0,ok
gl,0.003,8,7.740851794604333,0.1596449598363027,0.7431712354987238,2.14178204536438,1.7763568394002505e-15,ok
gl,0.01,8,8.287840916211216,0.16904566251401093,0.797880422449857,2.1390130519866943,0.0,ok
gl,0.03,8,8.13922648391173,0.1488922948933685,0.8090970984961837,2.2486438751220703,0.0,ok
gl,0.1,8,7.259349327022908,0.15307758740798105,0.6915895292808922,17.475799560546875,8.881784197001252e-16,ok
sym,0.0003,8,6.659006842615855,0.1710432822604534,0.589472612052628,11.564288139343262,0.0,ok
sym,0.003,8,6.8959566173243845,0.15651793920644785,0.6407379150183873,20.649003982543945,0.0,ok
sym,0.01,8,6.76753348382088,0.15808074878538392,0.621384651981651,171.419677734375,0.0,ok
sym,0.03,8,6.680919918924655,0.15490030791012271,0.6149752273075283,10018.369140625,8.881784197001252e-16,ok
sym,0.1,8,6.154331912991059,0.13350394499716922,0.5808146232857371,7285241.75,0.0,ok
baseline_ppo,,9,6.397694755956924,0.1800872858010328,0.5433824560102074,,0.0,ok
so,0.0003,9,7.094259728741782,0.15208681940088856,0.6734002259786551,1.000001072883606,0.0,ok
so,0.003,9,7.968753774858398,0.14220637435254824,0.7976373862219351,1.0000009536743164,0.0,ok
so,0.01,9,8.519931604780414,0.15549778315810298,0.8478669834919275,1.000001072883606,0.0,ok
so,0.03,9,8.709428865239808,0.15644241727705177,0.8695383861795069,1.0000009536743164,0.0,ok
so,0.1,9,8.871262404386057,0.1619899565493144,0.8822575262961289,1.0000009536743164,3.552713678800501e-15,ok
sl,0.0003,9,6.786647195561545,0.1409427428999341,0.6512186382627269,3.453185796737671,8.881784197001252e-16,ok
sl,0.003,9,7.562359732487886,0.1473381063529586,0.7389478294544233,2.3997727632522583,0.0,ok
sl,0.01,9,8.027461954545561,0.16560082623193717,0.7707513771585809,2.0426340103149414,0.0,ok
sl,0.03,9,7.867877113704546,0.13546740677544394,0.7953440709696461,2.41226065158844,0.0,ok
sl,0.1,9,7.753662238545999,0.18354723662206165,0.7086147296982817,23.194448471069336,8.881784197001252e-16,ok
gl,0.0003,9,6.982119395010719,0.1536543007011709,0.6561272724828061,3.3737608194351196,0.0,ok
gl,0.003,9,7.547530669951525,0.15136460535989454,0.7314194240195987,2.2368099689483643,0.0,ok
gl,0.01,9,7.884837053745025,0.15352829109453017,0.7705134968675983,1.9413947463035583,0.0,ok
gl,0.03,9,7.966783718840301,0.14136128522926358,0.7991322180612633,2.224829912185669,0.0,ok
gl,0.1,9,7.373957559000014,0.15123408394974056,0.709129048305129,12.996599197387695,1.7763568394002505e-15,ok
sym,0.0003,9,6.795992986378082,0.17225674489888004,0.6054605497580953,10.601224899291992,0.0,ok
sym,0.003,9,6.948519594807403,0.1501251391619248,0.6566057171151664,18.13382625579834,0.0,ok
sym,0.01,9,6.614733015353191,0.14136373639467367,0.6278103343603202,112.0613784790039,0.0,ok
sym,0.03,9,6.6243226672470445,0.14708696330846108,0.6201065671674908,2472.1917724609375,0.0,ok
sym,0.1,9,6.421893461998385,0.134515392080695,0.6138107022115495,509311.96875,0.0,ok
