arm,seed,auc,auc_task,auc_geo,auc_recon,recon_err,final_return,threshold_crossing,median_spectral_radius,status
gl(32),13,7.836385047166961,1.5878534280502972,6.2485316191166635,7.836385047166961,0.0,8.837417694013777,,2.432151436805725,ok
random(496),13,7.287551459682589,1.6794444471988634,5.6081070124837265,7.28755145968259,8.881784197001252e-16,8.021866532200605,,3.03861141204834,ok
baseline_ppo,13,6.302671346815771,1.8690092099727162,4.433662136843056,6.30267134681577,8.881784197001252e-16,7.602747537876935,,,ok
so(32),14,8.94845826118567,2.0285471841367904,6.919911077048879,8.94845826118567,0.0,9.33937676232783,,1.0000009536743164,ok
sl(32),14,8.227832280311706,1.9454679760575018,6.282364304254205,8.227832280311706,0.0,9.480305365093557,,2.3110079765319824,ok
sym(32),14,6.554952731721854,1.7801589705150618,4.774793761206791,6.554952731721854,0.0,6.803984185125356,,5096.289306640625,ok
gl(32),14,8.13581797246681,1.9321627916526942,6.203655180814118,8.135817972466812,1.7763568394002505e-15,9.627194665320907,,2.512348771095276,ok
random(496),14,7.512108573609788,1.794989899075724,5.7171186745340625,7.512108573609788,0.0,8.457065331960036,,3.635641574859619,ok
baseline_ppo,14,6.620249443007816,2.204998976484248,4.415250466523568,6.620249443007814,1.7763568394002505e-15,7.98934591712214,,,ok
so(32),15,8.670538001102129,1.8492727498360408,6.821265251266087,8.670538001102129,0.0,9.385894824307194,,1.0000008344650269,ok
sl(32),15,7.934355354419082,1.7384602990111746,6.195895055407907,7.934355354419082,0.0,8.685480592871988,,3.1890010833740234,ok
sym(32),15,6.559349127905165,1.6505933699761526,4.908755757929013,6.559349127905165,0.0,6.837694513535869,,2490.1583251953125,ok
gl(32),15,7.947706958602735,1.7566903970437677,6.191016561558968,7.947706958602735,0.0,9.095150662594428,,2.902296543121338,ok
random(496),15,7.751352708592064,1.802693642590738,5.948659066001326,7.751352708592066,1.7763568394002505e-15,8.148881191816022,,2.956581234931946,ok
baseline_ppo,15,6.535590775370722,2.318216410721964,4.21737436464876,6.535590775370722,0.0,7.735059820199424,,,ok
so(32),16,8.842251360434169,1.761657106809441,7.080594253624728,8.842251360434169,0.0,9.77452040062999,,1.0000008344650269,ok
sl(32),16,8.174727849072077,1.8020929299380453,6.372634919134031,8.174727849072077,0.0,8.860985387565306,,2.0921095609664917,ok
sym(32),16,6.535780162234656,1.7120921369437643,4.823688025290891,6.535780162234656,0.0,6.717134213786662,,6437.272705078125,ok
gl(32),16,8.157468103116264,1.82727098257195,6.330197120544314,8.157468103116265,1.7763568394002505e-15,8.673455112733663,,2.292941927909851,ok
random(496),16,7.755730022249809,1.958251549927833,5.797478472321978,7.75573002224981,8.881784197001252e-16,8.137996622180431,,3.1132739782333374,ok
baseline_ppo,16,6.592810475779967,2.178920313648031,4.413890162131935,6.592810475779967,0.0,7.583823440231566,,,ok
so(32),17,9.030471932198642,1.9772111894461377,7.053260742752502,9.030471932198642,0.0,9.944094048388333,,1.0000009536743164,ok
sl(32),17,8.113057425369798,1.8334506502860326,6.2796067750837645,8.113057425369798,0.0,9.761828747261909,,2.1644246578216553,ok
sym(32),17,6.3520544751209425,1.5999696345603616,4.752084840560581,6.3520544751209425,0.0,6.25180228224033,,5867.7978515625,ok
gl(32),17,8.024840251617317,1.7692673917741175,6.2555728598432,8.024840251617317,0.0,9.261009833048547,,2.2609492540359497,ok
random(496),17,7.435898492049878,1.7690711615050396,5.666827330544839,7.435898492049881,2.6645352591003757e-15,8.24577793709052,,2.8762444257736206,ok
baseline_ppo,17,6.413282385812729,2.143063713868365,4.270218671944365,6.413282385812729,0.0,7.332630953824813,,,ok
so(32),18,8.917928605241382,1.8846514338575853,7.033277171383799,8.917928605241382,0.0,9.473100170482532,,1.0000009536743164,ok
sl(32),18,8.235282086659918,1.9046987759177392,6.33058331074218,8.23528208665992,1.7763568394002505e-15,9.06914076240637,,2.207517981529236,ok
sym(32),18,6.521999558335939,1.7388947907336918,4.783104767602248,6.5219995583359385,8.881784197001252e-16,6.562120744167004,,3901.818359375,ok
gl(32),18,7.999785451429149,1.6525239539775967,6.347261497451552,7.999785451429149,0.0,8.46013063497556,,2.3465287685394287,ok
random(496),18,7.224096850909983,1.8217414517759716,5.40235539913401,7.224096850909983,0.0,7.325205890441378,,2.7756738662719727,ok
baseline_ppo,18,6.519485472225772,2.3314223720579124,4.18806310016786,6.519485472225772,0.0,7.564422756601291,,,ok
so(32),19,8.621145012172455,1.772769988101987,6.848375024070467,8.621145012172454,1.7763568394002505e-15,8.90585736381139,,1.0000008940696716,ok
sl(32),19,7.849457531587728,1.7011769485716493,6.148280583016078,7.849457531587729,8.881784197001252e-16,9.069692800417329,,2.544623613357544,ok
sym(32),19,6.5712817452370045,1.7493378158134893,4.821943929423516,6.571281745237005,8.881784197001252e-16,6.093864430526139,,4341.75,ok
gl(32),19,7.7198159625528895,1.5946310331037783,6.1251849294491105,7.71981596255289,8.881784197001252e-16,9.116253887753697,,2.629716634750366,ok
random(496),19,7.419162910671381,1.6485063599120566,5.770656550759325,7.419162910671383,1.7763568394002505e-15,7.848403754445715,,3.4646124839782715,ok
baseline_ppo,19,6.431351293182613,2.105014792104802,4.326336501077811,6.431351293182613,0.0,7.168719125694114,,,ok
